id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
318,Mad Love,Sean Paul,reggae,happy,0.82,98,0.61,0.79,0.01
319,Hold On,Lil Tjay,r&b,happy,0.6,152,0.69,0.69,0.12
320,Mess Around,Cage The Elephant,blues,happy,0.93,150,0.61,0.42,0.01
321,This Feeling,The Chainsmokers,electronic,energetic,0.57,105,0.45,0.57,0.06
322,Nenje Nenje,Harish Raghavan,jazz,chill,0.51,115,0.38,0.67,0.49
323,Lay Down Beside Me,Don Williams,country,melancholic,0.2,103,0.21,0.5,0.63
324,Legalize It,Peter Tosh,reggae,chill,0.59,145,0.65,0.71,0.07
325,More Than a Friend,GIRLI,indie,chill,0.59,137,0.65,0.69,0.03
326,Temple White,Ludovico Einaudi,ambient,melancholic,0.01,72,0.21,0.3,0.99
327,Proud Mary,Tina Turner,funk,chill,0.5,171,0.37,0.4,0.08
328,Daylight,Phlocalyst,jazz,chill,0.33,91,0.38,0.78,0.77
329,Pessimist,Lithe,soul,melancholic,0.2,178,0.27,0.69,0.37
330,Aaoge Tum Kabhi,The Local Train,indie,intense,0.86,98,0.37,0.53,0.02
331,Mask Off,Future,hip-hop,moody,0.43,150,0.28,0.83,0.01
332,Rise Up - Radio Edit,Yves Larock,funk,happy,0.8,128,0.85,0.66,0.0
333,"10,000 Hours (with Justin Bieber)",Dan + Shay,country,energetic,0.63,90,0.43,0.65,0.15
334,A Gentle Sunlight,James Quinn,classical,melancholic,0.03,75,0.12,0.32,0.99
335,Hard Times,Paramore,punk,happy,0.82,120,0.92,0.69,0.01
336,Weight On Me,Sheff G,r&b,chill,0.53,122,0.63,0.8,0.71
337,Lost My Heartbreak,David J,country,intense,0.8,103,0.42,0.56,0.09
338,Deathbeds,Bring Me The Horizon,metal,intense,0.73,160,0.15,0.26,0.52
339,Crosstown Traffic,Jimi Hendrix,blues,chill,0.96,113,0.53,0.49,0.25
340,Stars Align (with Drake),Majid Jordan,soul,happy,0.67,96,0.75,0.76,0.02
341,Polo Branca,Mc Kako,funk,happy,0.65,111,0.69,0.61,0.22
342,Levels,Sidhu Moose Wala,hip-hop,chill,0.73,113,0.58,0.59,0.0
343,Cold as Ice,Foreigner,rock,chill,0.61,131,0.51,0.56,0.03
344,Illa Pancha,Huma,ambient,melancholic,0.05,63,0.04,0.15,0.75
345,Crawling Back To You,Daughtry,rock,intense,0.91,151,0.16,0.43,0.01
346,Make It Wit Chu,Queens of the Stone Age,blues,chill,0.83,92,0.51,0.71,0.41
347,Dvala,Ever So Blue,classical,melancholic,0.09,66,0.13,0.25,0.97
348,NO MIENTEN,Becky G,latin,chill,0.77,128,0.52,0.96,0.11
349,La Vida Es Un Carnaval,Celia Cruz,latin,happy,0.7,104,0.85,0.81,0.49
350,Young Summer,Tungevaag,r&b,intense,0.91,107,0.36,0.64,0.01
351,Jeete Hain Chal,Kavita Seth,indie,energetic,0.6,92,0.47,0.57,0.65
352,Everybody Loves Somebody,Dean Martin,jazz,chill,0.39,119,0.46,0.37,0.85
353,I Choose You,Sara Bareilles,folk,chill,0.57,154,0.95,0.73,0.1
354,If I Ain't Got You,Alicia Keys,soul,moody,0.44,118,0.17,0.61,0.6
355,Pepas - David Guetta Remix,Farruko,latin,intense,0.75,127,0.05,0.69,0.01
356,People I Don't Like,UPSAHL,indie,chill,0.57,90,0.55,0.75,0.27
357,Rock This Party - Everybody Dance Now,Bob Sinclar,funk,happy,0.82,128,0.9,0.89,0.07
358,Ticket To Ride - Remastered 2015,The Beatles,rock,happy,0.9,123,0.8,0.55,0.06
359,Don't Worry My Love,Kaivon,reggae,intense,0.8,150,0.22,0.51,0.03
360,Off the Books (feat. Big Pun & Cuban Link),The Beatnuts,metal,happy,0.78,101,0.76,0.84,0.01
361,Songbird,Kenny G,jazz,melancholic,0.29,135,0.12,0.45,0.04
362,Rich Love (with Seeb),OneRepublic,classical,intense,0.87,105,0.47,0.4,0.17
363,Shootout (8D Version),Izzamuzzic,electronic,energetic,0.61,87,0.44,0.56,0.32
364,Hasta La Vista,Mc IG,funk,chill,0.58,113,0.71,0.88,0.25
365,Inner Courage,Mr. Käfer,jazz,relaxed,0.32,144,0.96,0.72,0.91
366,Amaranth,Nightwish,classical,intense,0.86,128,0.31,0.56,0.0
367,Super Rich Kids,Frank Ocean,soul,chill,0.42,60,0.58,0.74,0.22
368,We Like to Party - Original Mix,Showtek,electronic,intense,0.91,128,0.18,0.59,0.0
369,Somebody Like That,Tenille Arts,country,chill,0.8,105,0.58,0.57,0.02
370,IDGAF (feat. Morrisson),Sidhu Moose Wala,hip-hop,chill,0.78,95,0.54,0.77,0.25
371,Autumn Breeze,Kaiak,folk,melancholic,0.33,80,0.21,0.59,0.83
372,"You Should Be Dancing - Edit / From ""Saturday Night Fever"" Soundtrack",Bee Gees,funk,happy,0.72,123,0.96,0.68,0.02
373,Stupid for You,Waterparks,punk,chill,0.92,118,0.6,0.58,0.02
374,Shoreditch,Clint Is Quinn,lofi,chill,0.1,80,0.4,0.64,0.92
375,Run - Collins Remix,OneRepublic,classical,happy,0.75,117,0.84,0.65,0.23
376,Memories,Love Falk,classical,melancholic,0.01,76,0.15,0.48,0.99
377,Heer Ranjha,Bhuvan Bam,indie,moody,0.55,97,0.17,0.54,0.84
378,Aisay Kaisay,Hasan Raheem,indie,chill,0.43,105,0.4,0.58,0.47
379,Masterpiece,Motionless In White,metal,intense,0.86,178,0.39,0.32,0.0
380,Your eyes tell,BTS,pop,moody,0.49,140,0.26,0.45,0.28
381,Ms. Fat Booty,Mos Def,metal,chill,0.59,90,0.87,0.78,0.15
382,Valley Of Violence,Zomboy,reggae,intense,0.97,95,0.14,0.38,0.0
383,"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,folk,chill,0.46,92,0.81,0.61,0.71
384,Heavenly Harps,Matooma,ambient,melancholic,0.05,68,0.03,0.21,0.99
385,Like My Father,Jax,folk,chill,0.22,93,0.42,0.49,0.91
386,Crawl,Miss May I,metal,intense,0.93,135,0.2,0.5,0.0
387,O Que Meu Deus Vai Fazer,Weslei Santos,soul,melancholic,0.34,122,0.29,0.54,0.78
388,I Won't See You Tonight Part 1,Avenged Sevenfold,metal,intense,0.72,130,0.1,0.4,0.0
389,Missing Piece,Marika Takeuchi,classical,moody,0.36,110,0.19,0.59,0.87
390,You Make Me Feel... (feat. Sabi),Cobra Starship,punk,happy,0.86,132,0.75,0.67,0.02
391,Somos Iguales,Ozuna,latin,energetic,0.64,97,0.43,0.84,0.03
392,Moody Blue,Elvis Presley,rock,happy,0.73,135,0.96,0.64,0.67
393,Habits,Scott Bradlee's Postmodern Jukebox,jazz,chill,0.36,117,0.51,0.55,0.86
394,Do You Know? (The Ping Pong Song),Enrique Iglesias,latin,happy,0.77,115,0.69,0.76,0.05
395,Jump Around,House Of Pain,rock,happy,0.71,107,0.82,0.85,0.01
396,Teach Your Children,"Crosby, Stills, Nash & Young",blues,relaxed,0.28,155,0.67,0.5,0.64
397,Do Like That,Korede Bello,reggae,relaxed,0.37,114,0.66,0.83,0.36
398,Only Pain,Gojira,metal,intense,0.95,99,0.32,0.39,0.0
399,God Must Hate Me,Catie Turner,folk,melancholic,0.3,77,0.07,0.46,0.97
400,Dynamite (Bigroom Nation),W&W,electronic,intense,0.95,132,0.18,0.53,0.02
401,Heartbeat,The Fray,classical,intense,0.82,144,0.32,0.46,0.0
402,JD Intro - Background Score,Anirudh Ravichander,hip-hop,intense,0.93,100,0.08,0.66,0.01
403,No Me Conoce - Remix,Jhayco,reggae,chill,0.79,92,0.58,0.81,0.14
404,I'll Make Love To You,Boyz II Men,r&b,moody,0.49,142,0.2,0.56,0.1
405,Aathi,Anirudh Ravichander,hip-hop,intense,0.82,150,0.44,0.59,0.24
406,Disco,Surf Curse,punk,happy,0.62,173,0.78,0.47,0.03
407,Can I Kiss You?,Dahl,electronic,energetic,0.65,99,0.35,0.69,0.52
408,Smooth (feat. Rob Thomas),Santana,blues,happy,0.92,116,0.96,0.61,0.16
409,Skyline Pigeon - Piano Version,Elton John,classical,chill,0.55,132,0.43,0.55,0.33
410,Last Stand,Adelitas Way,rock,intense,0.75,132,0.33,0.44,0.0
411,Hold On,Adele,soul,chill,0.36,166,0.46,0.37,0.86
412,Hunger,Ross Copperman,folk,moody,0.63,79,0.2,0.44,0.43
413,Rhyl Sands,Teide,classical,melancholic,0.02,122,0.27,0.3,0.97
414,Mar Chiquita,Ozuna,latin,happy,0.76,98,0.67,0.71,0.3
415,Dos Hojas Sin Rumbo,Julio Preciado Y Su Banda Perla Del Pacifico,r&b,relaxed,0.39,120,0.98,0.78,0.37
416,Fire Blood and Steel,Brothers of Metal,metal,intense,0.91,120,0.14,0.54,0.0
417,Missing You,All Time Low,punk,intense,0.73,100,0.4,0.56,0.05
418,Sunny Road,Emilíana Torrini,lofi,melancholic,0.14,84,0.33,0.6,0.92
419,Take on Me,a-ha,rock,happy,0.9,84,0.88,0.57,0.02
420,The Beauty of Everyday Things,Hara Noda,jazz,melancholic,0.28,108,0.09,0.64,0.96
421,Playground Love,Air,ambient,moody,0.42,143,0.12,0.33,0.27
422,One Man's Dream,Yanni,ambient,melancholic,0.12,123,0.19,0.36,0.98
423,Seja Forte,Isadora Pompeo,soul,moody,0.61,128,0.28,0.57,0.0
424,Calming Pacific Ocean Roar to Induce Healing Delta Sleep Waves (Nursery Rhymes Lullabies Effect),White Noise Baby Sleep,ambient,melancholic,0.2,87,0.0,0.08,0.73
425,No Sleep (feat. Bonn) - DubVision Remix,Martin Garrix,electronic,intense,0.79,128,0.29,0.58,0.05
426,I'll Be Seeing You,Billie Holiday,blues,melancholic,0.03,90,0.19,0.35,0.99
427,Aaja Nachle,Salim–Sulaiman,folk,happy,0.88,120,0.84,0.77,0.42
428,Wiegenlieden,Gunnel Boek,classical,melancholic,0.0,59,0.26,0.39,0.99
429,Why Not Me?,Enrique Iglesias,latin,moody,0.53,99,0.34,0.71,0.5
430,End Of The Night,Danny Avila,electronic,intense,0.72,100,0.31,0.67,0.37
431,Gimme Gimme - Club Mix,Lee Cabrera,funk,chill,0.91,126,0.52,0.71,0.0
432,Indian Summer,The Doors,rock,melancholic,0.15,103,0.15,0.49,0.86
433,"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,r&b,chill,0.49,104,0.97,0.74,0.06
434,Bailando - Spanish Version,Enrique Iglesias,latin,happy,0.78,91,0.96,0.72,0.04
435,Saibo,Sachin-Jigar,hip-hop,chill,0.43,90,0.55,0.62,0.74
436,Words,Bee Gees,funk,melancholic,0.29,80,0.25,0.26,0.14
437,"Can't Get Enough Of Your Love, Babe",Barry White,funk,happy,0.78,112,0.8,0.73,0.11
438,Feeling Good,Nina Simone,blues,chill,0.33,79,0.55,0.4,0.86
439,Walk Like an Egyptian,The Bangles,funk,happy,0.89,103,0.82,0.72,0.0
440,"Burning Heart - From ""Rocky IV"" Soundtrack",Survivor,rock,happy,0.67,98,0.65,0.65,0.22
441,Flashdance... What A Feeling - '95 Version,Irene Cara,funk,happy,0.75,129,0.66,0.66,0.2
442,This Time (Never Be Alone Again),Dada Life,electronic,intense,0.87,128,0.22,0.62,0.05
443,Rhythm of the Rain,The Cascades,r&b,happy,0.66,117,0.67,0.66,0.63
444,God Save The Queen,Sex Pistols,punk,chill,0.9,147,0.54,0.3,0.0
445,"Kurumugil (From ""Sita Ramam (Tamil)"")",Vishal Chandrashekhar,pop,chill,0.34,150,0.58,0.42,0.51
446,Hypnotize,System Of A Down,metal,intense,0.92,154,0.04,0.27,0.03
447,Other Side of Love,Sean Paul,reggae,intense,0.79,120,0.26,0.83,0.01
448,Wanted,Hunter Hayes,country,moody,0.48,170,0.3,0.42,0.27
449,"That's What Friends Are For (with Elton John, Gladys Knight & Stevie Wonder)",Dionne Warwick,funk,melancholic,0.24,120,0.17,0.68,0.51
450,True Love (feat. Tay Iwar & Projexx),Wizkid,reggae,chill,0.54,120,0.62,0.85,0.23
451,FRZZN,OZZIE,soul,chill,0.53,140,0.37,0.59,0.03
452,My Funny Valentine,Chet Baker,jazz,melancholic,0.01,133,0.28,0.44,0.94
453,First Date,blink-182,punk,happy,0.93,96,0.88,0.58,0.0
454,Tsumi No Kaori,Fujii Kaze,pop,happy,0.86,155,0.84,0.52,0.05
455,Satisfya,Imran Khan,hip-hop,happy,0.65,164,0.8,0.73,0.0
456,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,folk,moody,0.55,101,0.34,0.55,0.78
457,Solo,Dan Berk,folk,relaxed,0.31,124,0.61,0.49,0.75
458,Legend,Sidhu Moose Wala,hip-hop,happy,0.84,87,0.79,0.75,0.13
459,LOKERA,Rauw Alejandro,latin,chill,0.83,102,0.58,0.83,0.21
460,I'll Go,Direct,reggae,moody,0.58,150,0.06,0.4,0.2
461,All The Stars (with SZA),Kendrick Lamar,hip-hop,chill,0.63,97,0.55,0.7,0.06
462,Chellakuttiye (Avastha Love Song),Jecin George,electronic,moody,0.54,170,0.31,0.44,0.54
463,Until the Day I Die,Story Of The Year,metal,chill,0.93,92,0.53,0.6,0.13
464,Chantaje (feat. Maluma),Shakira,latin,happy,0.77,102,0.91,0.85,0.19
465,Woman In Chains,Tears For Fears,pop,energetic,0.61,160,0.37,0.43,0.02
466,Sway (Quien Sera),Dean Martin,jazz,chill,0.24,120,0.57,0.6,0.73
467,How Deep Is Your Love - Serban Mix,Bee Gees,funk,chill,0.5,105,0.5,0.58,0.02
468,We've Got Tonight,Kenny Rogers,country,melancholic,0.23,124,0.29,0.54,0.77
469,Cold Heart - PS1 Remix,Elton John,classical,happy,0.88,122,0.63,0.66,0.0
470,"Doobey (From ""Gehraiyaan"")",OAFF,indie,energetic,0.67,119,0.36,0.75,0.34
471,Sunflakes,RLLBTS,jazz,chill,0.57,88,0.69,0.7,0.0
472,You Do You,Zayde Wølf,blues,happy,0.8,120,0.78,0.75,0.08
473,Un Coco,Bad Bunny,latin,happy,0.69,152,0.74,0.84,0.21
474,Just the Two of Us,"Grover Washington, Jr.",jazz,chill,0.43,95,0.6,0.74,0.45
475,When We Feel Young,When Chai Met Toast,folk,intense,0.7,88,0.32,0.57,0.27
476,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,folk,chill,0.3,174,0.43,0.32,0.77
477,You Promised Not to Break My Heart,boy in skirt,lofi,melancholic,0.05,149,0.19,0.65,0.86
478,Perfect,Simple Plan,punk,chill,0.67,156,0.56,0.49,0.03
479,Snakes (from the series Arcane League of Legends),PVRIS,punk,intense,0.84,158,0.37,0.43,0.0
480,Woke Up in Love,Kygo,electronic,moody,0.58,106,0.19,0.64,0.23
481,DiE4u,Bring Me The Horizon,metal,intense,0.92,160,0.26,0.35,0.0
482,"Sugar, Sugar",The Archies,rock,happy,0.87,122,0.97,0.74,0.47
483,Cowboy Fora Da Lei,Raul Seixas,r&b,happy,0.74,173,0.81,0.43,0.05
484,Dil Dhadakne Do,Joi Barua,indie,chill,0.6,117,0.95,0.78,0.07
485,Day Dream,Bill Charlap Trio,jazz,melancholic,0.1,100,0.09,0.43,0.91
486,Vethalaiya Potendi,Yuvan Shankar Raja,pop,happy,0.95,120,0.82,0.82,0.17
487,Shallow,Boyce Avenue,folk,melancholic,0.34,96,0.34,0.65,0.78
488,Yo Darlin',NSG,reggae,happy,0.69,100,0.61,0.67,0.3
489,How You Like Me Now,The Heavy,blues,intense,0.71,110,0.27,0.65,0.0
490,Sugar Sugar,The Archies,r&b,happy,0.72,122,0.96,0.76,0.4
491,Next Thing You Know,Jordan Davis,country,energetic,0.6,79,0.41,0.56,0.65
492,Escape,Enrique Iglesias,latin,happy,0.84,126,0.87,0.78,0.03
493,This Charming Man - 2011 Remaster,The Smiths,punk,happy,0.85,104,0.75,0.61,0.01
494,Let 'em Play,Karan Aujla,hip-hop,happy,0.65,92,0.75,0.78,0.01
495,Ocean Avenue,Yellowcard,punk,happy,0.9,174,0.79,0.49,0.0
496,Shame,Ciaran Lavery,folk,melancholic,0.3,115,0.31,0.62,0.85
497,The Only Exception,Paramore,punk,moody,0.56,138,0.21,0.45,0.14
498,All of Me,John Legend,soul,melancholic,0.26,120,0.33,0.42,0.92
499,Flaming Hot Cheetos,Clairo,indie,moody,0.55,110,0.14,0.82,0.86
500,Montreal,Roosevelt,funk,happy,0.64,116,0.84,0.67,0.0
501,Dirty Little Secret,The All-American Rejects,punk,intense,0.95,144,0.46,0.47,0.0
502,Tongue Tied (with YUNGBLUD & blackbear),Marshmello,electronic,intense,0.82,93,0.47,0.63,0.02
503,Only God Can Judge Me (ft. Rappin' 4-Tay),2Pac,funk,happy,0.79,90,0.81,0.8,0.0
504,Sunflower Feelings,Kuzu Mellow,lofi,chill,0.45,130,0.56,0.82,0.75
505,I Should Probably Go To Bed,Dan + Shay,country,melancholic,0.28,132,0.31,0.72,0.63
506,"Whenever, Wherever",Shakira,latin,happy,0.83,108,0.87,0.79,0.24
507,Home full of solipsism,Biba Dupont,classical,melancholic,0.04,96,0.17,0.48,1.0
508,The Chapeltown Rag,Slipknot,metal,intense,1.0,95,0.07,0.54,0.0
509,Get Over You,Dannic,electronic,energetic,0.69,124,0.43,0.69,0.07
510,Cloud Study,Norris Melcher,ambient,melancholic,0.1,80,0.05,0.19,0.95
511,So Tied Up,Cold War Kids,blues,happy,0.89,105,0.81,0.59,0.03
512,Achy Breaky Heart,Billy Ray Cyrus,country,chill,0.56,122,0.96,0.8,0.05
513,Glad You Exist - Acoustic,Dan + Shay,country,relaxed,0.39,184,0.65,0.54,0.8
514,Red Gold Yesterday,LUCHS,ambient,melancholic,0.23,96,0.19,0.38,0.89
515,Blurred Lines,Robin Thicke,soul,chill,0.6,120,0.84,0.85,0.0
516,I Try,Macy Gray,soul,happy,0.64,76,0.74,0.59,0.31
517,My Girl,The Temptations,funk,chill,0.42,105,0.69,0.57,0.64
518,Ferme Les Yeux,Sylvain Chauveau,ambient,melancholic,0.03,0,0.0,0.0,0.99
519,Return To Love,Andrea Bocelli,classical,moody,0.43,128,0.14,0.49,0.61
520,One Way Ticket,Eruption,funk,happy,0.73,124,0.96,0.72,0.32
521,Hero,Enrique Iglesias,latin,moody,0.64,77,0.16,0.35,0.14
522,London's Song,Matt Hartke,folk,chill,0.27,89,0.49,0.56,0.93
523,Pain,Josh A,lofi,chill,0.51,75,0.61,0.79,0.53
524,Paraquedas,Gabriel Diniz,funk,happy,0.94,171,0.81,0.59,0.65
525,"It's Been a Long, Long Time",Harry James,jazz,chill,0.22,75,0.36,0.28,0.94
526,YKWIM?,Yot Club,indie,moody,0.54,124,0.23,0.37,0.94
527,Moonlight,XXXTENTACION,hip-hop,chill,0.54,128,0.71,0.92,0.56
528,Fox on the Run - Single Version,Sweet,blues,happy,0.75,128,0.73,0.48,0.01
529,Heaven,OneRepublic,classical,intense,0.72,95,0.37,0.58,0.06
530,Long Live The King,I Prevail,metal,chill,0.86,165,0.54,0.43,0.0
531,Love Is Gone - Alok Remix,SLANDER,reggae,intense,0.79,130,0.39,0.63,0.06
532,Soft Boy,Wilbur Soot,indie,chill,0.41,171,0.61,0.68,0.09
533,Throwaway (with Clairo),SG Lewis,soul,chill,0.49,140,0.87,0.79,0.78
534,How You Like Me Now? - Raffertie Remix,The Heavy,blues,moody,0.63,102,0.17,0.59,0.18
535,Ra Ra Reddy I Am Ready,Lipsika,indie,happy,0.9,79,0.7,0.74,0.38
536,Forever in Love,Kenny G,jazz,melancholic,0.32,82,0.11,0.34,0.34
537,The World Is Mine (Whole World Ahead),Samm Henshaw,soul,happy,0.91,98,0.79,0.56,0.11
538,The Light Behind Your Eyes,My Chemical Romance,punk,moody,0.46,75,0.11,0.41,0.05
539,Turndown Service,Adeline Verver,ambient,melancholic,0.02,72,0.06,0.16,0.95
540,Zingaat,Ajay-Atul,hip-hop,happy,0.79,130,0.7,0.83,0.36
541,Difficult,Gracie Abrams,indie,energetic,0.59,146,0.4,0.6,0.43
542,Love Never Felt So Good,Michael Jackson,soul,chill,0.87,117,0.51,0.63,0.08
543,A Kiss To Build A Dream On - Single Version,Louis Armstrong,jazz,chill,0.08,88,0.36,0.72,0.78
544,NEET GAME,花冷え。,metal,intense,0.97,101,0.19,0.49,0.0
545,Green Green Grass,George Ezra,folk,happy,0.74,113,0.8,0.69,0.07
546,Primavera,Ludovico Einaudi,ambient,melancholic,0.21,142,0.14,0.23,0.96
547,Monday Loop,Tomppabeats,lofi,chill,0.38,69,0.35,0.74,0.87
548,Multi-Love,Unknown Mortal Orchestra,rock,chill,0.51,120,0.54,0.78,0.57
549,Is This the Life I Chose?,Aaryan Shah,soul,melancholic,0.33,94,0.18,0.6,0.74
550,Kiss from a Rose,Seal,soul,moody,0.53,132,0.22,0.58,0.68
551,Electric Love,BØRNS,rock,chill,0.8,120,0.52,0.61,0.01
552,Baitikochi Chuste,Anirudh Ravichander,hip-hop,chill,0.44,90,0.64,0.59,0.58
553,Tornado Of Souls - Remastered 2004,Megadeth,rock,intense,0.98,98,0.36,0.52,0.0
554,Stricken,Disturbed,metal,intense,0.97,174,0.26,0.4,0.0
555,Sobrio,Maluma,reggae,happy,0.77,178,0.63,0.76,0.14
556,Cenote,Sainte Vie,electronic,intense,0.9,122,0.04,0.56,0.01
557,Somebody Out There,A Rocket To The Moon,punk,moody,0.41,120,0.23,0.41,0.34
558,The Heart of Life,John Mayer,folk,chill,0.24,176,0.36,0.49,0.96
559,21 Guns,Green Day,punk,intense,0.72,159,0.42,0.26,0.05
560,What You Make It,With Confidence,punk,chill,0.52,180,0.63,0.57,0.0
561,Someone Loves Us,Dario Marianelli,ambient,melancholic,0.01,84,0.04,0.18,0.97
562,Time After Time,Cyndi Lauper,funk,moody,0.45,130,0.29,0.73,0.49
563,Me and My Girlfriend,Sidhu Moose Wala,hip-hop,happy,0.8,79,0.75,0.7,0.03
564,Querida,Juan Gabriel,latin,chill,0.59,178,0.51,0.43,0.32
565,SER SUA,Flora Matos,r&b,chill,0.39,95,0.46,0.77,0.64
566,Aarzu,Hasan Raheem,indie,moody,0.38,115,0.26,0.91,0.34
567,Gospel (with Eminem),Dr. Dre,funk,happy,0.87,117,0.66,0.92,0.1
568,Fallout,UNSECRET,blues,moody,0.54,110,0.19,0.53,0.34
569,World Hold On - FISHER Rework,Bob Sinclar,funk,happy,0.88,127,0.9,0.77,0.01
570,Calling On Me,Sean Paul,reggae,happy,0.89,100,0.64,0.62,0.02
571,Happy Face,Connor Price,lofi,moody,0.61,84,0.04,0.49,0.03
572,New Gold (feat. Tame Impala and Bootie Brown),Gorillaz,rock,chill,0.92,108,0.55,0.69,0.04
573,Unforgettable,Nat King Cole,jazz,melancholic,0.18,136,0.18,0.35,0.92
574,Brahms' Lullaby,Bedtime Baby,ambient,chill,0.09,177,0.53,0.45,0.99
575,Walking on the Moon - Bad Computer Remix,Infected Mushroom,electronic,happy,0.85,130,0.82,0.72,0.05
576,What's Love Got to Do with It - 2015 Remaster,Tina Turner,funk,chill,0.48,98,0.8,0.85,0.25
577,Everybody Wants To Rule The World,Tears For Fears,pop,chill,0.8,112,0.54,0.65,0.35
578,Made For You,Jake Owen,country,moody,0.44,82,0.34,0.58,0.77
579,Comics,Caravan Palace,jazz,chill,0.85,90,0.56,0.55,0.0
580,How Do I Live,LeAnn Rimes,country,moody,0.46,128,0.26,0.58,0.13
581,Agitations tropicales,L'Impératrice,pop,chill,0.4,116,0.62,0.76,0.56
582,Sleeping at last,Stephanie Middleton,classical,melancholic,0.06,111,0.28,0.33,0.99
583,Cloud 9,Beach Bunny,indie,happy,0.93,81,0.9,0.64,0.0
584,Cold (feat. CADE),Darci,soul,intense,0.72,85,0.13,0.46,0.15
585,Longing,Gustavo Santaolalla,ambient,melancholic,0.02,92,0.04,0.45,0.94
586,Snapchat Story,Bilal Saeed,hip-hop,happy,0.81,96,0.75,0.81,0.16
587,I Think You Left Your Scarf,Kochetkovv,lofi,melancholic,0.14,77,0.04,0.61,0.9
588,Little Black Submarines,The Black Keys,blues,chill,0.47,95,0.49,0.36,0.16
589,Piece of My Heart,Big Brother & The Holding Company,blues,chill,0.73,161,0.57,0.44,0.26
590,Blue in Green (feat. John Coltrane & Bill Evans),Miles Davis,jazz,melancholic,0.02,110,0.15,0.42,0.81
591,"Piano Concerto No. 2 in F Major, Op. 102: II. Andante",Dmitri Shostakovich,ambient,melancholic,0.01,77,0.04,0.15,0.97
592,"Arabic Kuthu - Halamithi Habibo (From ""Beast"")",Anirudh Ravichander,hip-hop,happy,0.76,124,0.62,0.61,0.26
593,Blood Talks,Jordan Sandhu,hip-hop,chill,0.73,90,0.53,0.76,0.15
594,Babooshka - 2018 Remaster,Kate Bush,classical,moody,0.36,109,0.29,0.49,0.76
595,Turbulent,Waterparks,punk,intense,0.84,172,0.23,0.53,0.03
596,Time After Time - Vocal Version,Chet Baker,jazz,melancholic,0.05,100,0.26,0.5,0.94
597,Picture (feat. Sheryl Crow),Kid Rock,metal,chill,0.5,98,0.38,0.69,0.17
598,The House of the Rising Sun,The Animals,blues,moody,0.48,117,0.3,0.32,0.0
599,Paniyon Sa,Atif Aslam,pop,happy,0.77,75,0.67,0.52,0.45
600,Use Me (feat. 070 Shake),PVRIS,punk,moody,0.62,79,0.23,0.32,0.04
601,Muskurayera,Sushant KC,indie,chill,0.52,80,0.56,0.59,0.89
602,Far From Any Road,The Handsome Family,country,chill,0.56,120,0.75,0.71,0.19
603,Bumpy Ride,Mohombi,electronic,happy,0.84,105,0.82,0.71,0.05
604,I Don't Wanna Be Okay Without You,Charlie Burg,indie,melancholic,0.32,63,0.17,0.53,0.4
605,Banjaara,Mohammed Irfan,pop,chill,0.49,116,0.4,0.66,0.71
606,Better Days,Hedley,punk,happy,0.73,93,0.65,0.35,0.37
607,Hand to Hold,JJ Heller,folk,melancholic,0.31,134,0.26,0.55,0.61
608,I.F.L.Y.,Bazzi,electronic,chill,0.52,105,0.55,0.81,0.38
609,Young,Vacations,indie,chill,0.81,80,0.59,0.5,0.0
610,Grown Man Sport,Pete Rock,metal,happy,0.76,88,0.61,0.8,0.48
611,I Will Follow You,Ricky Nelson,r&b,chill,0.44,121,0.75,0.67,0.76
612,Page,Hideyuki Hashimoto,classical,melancholic,0.05,76,0.2,0.48,0.98
613,I Feel Like I'm Drowning,Two Feet,indie,moody,0.58,105,0.23,0.72,0.71
614,Sunrise,Kevitch,lofi,moody,0.39,138,0.14,0.61,0.53
615,Zoo York (feat. Fivio Foreign & Pop Smoke),Lil Tjay,r&b,moody,0.57,92,0.3,0.56,0.04
616,Kotodama,Ozuna,latin,chill,0.69,93,0.6,0.88,0.16
617,i luv him.,Catie Turner,folk,chill,0.18,123,0.44,0.65,0.85
618,Barbra Streisand (Radio Edit),Duck Sauce,funk,intense,0.93,128,0.46,0.76,0.0
619,AYA,MAMAMOO,pop,happy,0.86,92,0.64,0.63,0.1
620,On The Rise,Generdyn,blues,intense,0.9,99,0.24,0.58,0.01
621,Lionhearted,Porter Robinson,reggae,intense,0.74,120,0.35,0.62,0.02
622,Dear,Daigo Hanada,classical,melancholic,0.02,92,0.18,0.34,0.99
623,Coco,Little Symphony,ambient,moody,0.36,83,0.21,0.17,0.84
624,The Calling (EPIX Remix),The Rigs,blues,moody,0.49,75,0.23,0.35,0.14
625,The Spirit Of Radio,Rush,rock,happy,0.92,136,0.63,0.36,0.01
626,Rasputin - Club Mix,Boney M.,funk,happy,0.91,127,0.97,0.72,0.17
627,Bahut Pyar Karte Hai - Female Version,Anuradha Paudwal,pop,chill,0.49,124,0.72,0.45,0.66
628,Put Your Records On,Corinne Bailey Rae,r&b,chill,0.51,96,0.54,0.74,0.17
629,Guthrie,Julien Baker,ambient,melancholic,0.24,111,0.23,0.47,0.89
